Material,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,Nb+Ta,Elongation,Reduction of Area,Stress,Temperature,Stacking Fault Energy,PI_creep_feature,creep_rupture_life
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,65,70,88,750,63.5551,2.5992,265.8
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,93,85,88,750,65.2279,2.4043,269
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,27,24,265,600,60.2786,2.4991,269.7
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,109,81,88,750,57.9359,2.5341,275
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,49,51,137,700,62.6117,2.4025,287.5
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,149,85,88,750,58.7002,2.5250,291.4
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,42,47,265,600,65.2279,2.6614,307.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,56,57,265,600,66.6471,2.6596,321.1
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,56,41,53,800,62.3719,2.5211,342.5
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,29,38,265,600,62.6117,2.5321,364.4
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,42,54,265,600,64.0064,2.4991,366.1
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,54,55,235,600,66.6025,2.6172,373.8
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,100,73,53,800,67.3807,2.6333,388.4
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,46,40,53,800,60.6679,2.5211,389.6
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,99,70,53,800,64.0064,2.5211,390.6
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,49,56,265,600,66.7895,2.4991,400.2
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,68,53,53,800,60.2786,2.5211,407.2
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,82,60,53,800,59.6453,2.6102,409
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,75,63,108,700,62.3719,2.7432,417.6
