Ti,Al,V,Fe,C,N,H,O,Sn,Nb,Mo,Zr,Si,B,Cr,Solution treated temp(cel),ST time (h),Anneal temp (cel),Annealing Time (hour),steady state strain rate (1/s),Strain to rupture (%) (Efc),PI_creep_feature,Temperature of creep test (cel),stress,Creep Life
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,9.81E-07,52.9,1.845,600,97,40.13
89.7488,5.9,3.9,0.17,0.029,0.0031,0.0031,0.246,0,0,0,0,0,0,0,0,0,720,2,3.00E-06,5.36,1.889,650,138,9.1
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,1.84E-08,0.027,1.867,500,80,47.81
89.7488,5.9,3.9,0.17,0.029,0.0031,0.0031,0.246,0,0,0,0,0,0,0,0,0,720,2,7.00E-07,21.1,1.915,650,104,50.8
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,7.12E-08,0.05,1.867,500,80,49.24
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,4.43E-05,19.38,1.996,600,250,0.62
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,7.80E-05,20.1,1.932,600,291,0.37
89.639,5.98,4.07,0.2,0.005,0.005,0.001,0.1,0,0,0,0,0,0,0,0,0,0,0,3.37E-05,24,1.935,600,278,0.34
89.7488,5.9,3.9,0.17,0.029,0.0031,0.0031,0.246,0,0,0,0,0,0,0,0,0,720,2,5.46E-05,17.82,1.815,650,310,0.3
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,950,1,600,24,6.10E-05,10.7,1.812,600,319,0.25
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,8.55E-08,0.057,1.841,500,100,47.9
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,2.50E-06,0,1.995,600,125,14
89.41,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,900,2,3.05E-06,4.82,2.291,550,300,2.86
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,4.83E-07,1.4,2.056,750,150,22.33
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,4.43E-05,0,2.499,500,520,0.36
87.875,6.75,4.5,0.4,0.1,0.05,0.125,0.2,0,0,0,0,0,0,0,690,4,1050,0.5,3.88E-07,28.6,2.077,600,125,102.12
84.773,5.78,0,0,0.06,0.007,0,0.09,4.01,0.55,0.72,3.71,0.3,0,0,1055,2,700,2,0,43.5,2.376,600,150,526.9
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,970,1,530,6,1.00E-07,42,2.491,500,300,50
89.41,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,900,2,2.70E-07,7.48,2.265,500,300,46.66
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,0,0,0,0,2.83E-07,56.6,2.265,500,300,50
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,1010,1,530,6,2.14E-07,47.4,2.265,500,300,50
85.26,5.7,0,0,0.04,0,0,0,4.8,0.69,1,2.2,0.31,0,0,1050,0.5,700,2,0,4.75,2.492,600,310,37.17
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,9.64E-07,15,2.232,500,361,28.19
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,0,6.9,2.307,500,250,71.193
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,1.87E-07,0,2.307,500,250,72
85.26,5.7,0,0,0.04,0,0,0,4.8,0.69,1,2.2,0.31,0,0,1050,0.5,700,2,0,4.09,1.524,600,310,18.49
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,3.20E-07,0,1.519,500,312,20
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,4.43E-05,10.9,2.499,500,520,0.36
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,7.82E-07,5.54,2.296,750,250,118.15
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,970,1,530,24,2.40E-07,45.5,2.265,500,300,50
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,950,1,530,6,1.92E-07,44.2,2.265,500,300,50
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,2.63E-07,35.1,2.27,500,291,96.79
88.05,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.2,0,1050,0.5,550,24,9.27E-08,19.43,2.474,500,300,306.7
88.25,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0,0,1050,0.5,550,24,1.44E-07,26.22,2.474,500,300,328.28
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,9.06E-07,1.76,2.512,750,325,192.36
87.875,6.75,4.5,0.4,0.1,0.05,0.125,0.2,0,0,0,0,0,0,0,690,4,1050,0.5,9.72E-08,11.2,2.512,500,319,224
85.26,5.7,0,0,0.04,0,0,0,4.8,0.69,1,2.2,0.31,0,0,1050,0.5,700,2,0,7.05,2.259,600,310,91.45
87.75,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.5,0,1050,0.5,550,24,8.36E-08,16.64,2.474,500,300,371.04
